Task,Area,Cutoff
wd,4.213787630779314,0.1
int,4.2457180195499795,0.1
wd,3.9683116728267147,0.15
int,4.058396770058407,0.15
wd,3.803097399277268,0.2
int,3.865271710852511,0.2
wd,3.494722149813321,0.25
int,3.6235678350729787,0.25
wd,3.1765370431829236,0.3
int,3.4100252925458943,0.3
